order_id,order_date,customer_id,customer_name,region,segment,product,category,sales,profit,quantity,discount
1,2023-01-01,1102,Ali Khan,East,Corporate,Printer,Furniture,2396.33,774.17,12,0.01
2,2023-01-02,1270,John Smith,East,Corporate,Chair,Furniture,2283.77,1297.34,5,0.29
3,2023-01-03,1106,Sara Ahmed,West,Consumer,Tablet,Office Supplies,4352.42,413.02,14,0.27
4,2023-01-04,1071,John Smith,East,Home Office,Headphones,Furniture,2673.81,-201.13,12,0.11
5,2023-01-05,1188,Michael Lee,East,Consumer,Laptop,Technology,2366.5,1359.87,7,0.21
6,2023-01-06,1020,Sara Ahmed,South,Consumer,Headphones,Technology,2083.01,417.41,10,0.33
7,2023-01-07,1102,Fatima Zahra,North,Corporate,Printer,Furniture,4097.24,-136.74,6,0.36
8,2023-01-08,1121,Ayesha Noor,North,Consumer,Mobile,Furniture,4480.53,104.79,4,0.0
9,2023-01-09,1214,John Smith,South,Corporate,Tablet,Office Supplies,4273.55,-398.39,7,0.47
10,2023-01-10,1087,Sara Ahmed,South,Home Office,Laptop,Office Supplies,3384.06,436.6,10,0.08
11,2023-01-11,1099,John Smith,West,Home Office,Desk,Office Supplies,729.94,1206.26,9,0.12
12,2023-01-12,1151,Sara Ahmed,West,Home Office,Tablet,Furniture,1420.51,1367.16,10,0.13
13,2023-01-13,1130,Ali Khan,West,Consumer,Chair,Office Supplies,278.01,1365.2,10,0.02
14,2023-01-14,1149,Fatima Zahra,South,Corporate,Headphones,Office Supplies,4657.58,-249.54,13,0.06
15,2023-01-15,1257,John Smith,South,Home Office,Laptop,Technology,3320.95,264.11,7,0.49
16,2023-01-16,1293,Ayesha Noor,East,Corporate,Tablet,Office Supplies,3744.5,-443.54,12,0.16
17,2023-01-17,1191,Ayesha Noor,West,Corporate,Headphones,Technology,1592.28,1210.33,14,0.06
18,2023-01-18,1276,Michael Lee,West,Home Office,Laptop,Technology,4235.98,217.51,5,0.05
19,2023-01-19,1160,Sara Ahmed,West,Home Office,Printer,Office Supplies,1335.04,762.23,7,0.36
20,2023-01-20,1021,John Smith,North,Corporate,Tablet,Technology,58.14,929.8,3,0.43
21,2023-01-21,1252,Michael Lee,East,Home Office,Printer,Furniture,1913.25,359.69,2,0.13
22,2023-01-22,1235,John Smith,West,Corporate,Tablet,Furniture,2875.27,112.88,11,0.01
23,2023-01-23,1048,Sara Ahmed,West,Corporate,Printer,Office Supplies,2419.59,1424.43,5,0.11
24,2023-01-24,1058,Ayesha Noor,West,Home Office,Headphones,Furniture,4317.28,1428.98,4,0.03
25,2023-01-25,1169,Ali Khan,North,Consumer,Desk,Technology,571.76,78.87,5,0.05
26,2023-01-26,1187,Ayesha Noor,North,Home Office,Tablet,Furniture,2791.43,459.25,8,0.22
27,2023-01-27,1270,Michael Lee,South,Consumer,Tablet,Office Supplies,2589.25,1445.69,12,0.11
28,2023-01-28,1189,Fatima Zahra,East,Corporate,Printer,Office Supplies,1442.9,-490.26,4,0.26
29,2023-01-29,1174,Ali Khan,South,Corporate,Laptop,Technology,4120.03,325.36,9,0.13
30,2023-01-30,1050,Michael Lee,East,Consumer,Tablet,Office Supplies,3776.6,-299.08,7,0.47
31,2023-01-31,1054,Sara Ahmed,North,Corporate,Printer,Furniture,3677.65,518.32,10,0.45
32,2023-02-01,1243,Ali Khan,West,Consumer,Mobile,Office Supplies,4387.15,-450.66,13,0.28
33,2023-02-02,1130,Michael Lee,South,Consumer,Printer,Technology,3627.78,313.8,12,0.18
34,2023-02-03,1134,Sara Ahmed,West,Corporate,Headphones,Office Supplies,1197.61,-58.6,7,0.19
35,2023-02-04,1020,Ayesha Noor,South,Consumer,Desk,Furniture,3542.54,566.62,13,0.21
36,2023-02-05,1166,Fatima Zahra,North,Home Office,Mobile,Technology,1573.13,1491.99,13,0.36
37,2023-02-06,1273,Sara Ahmed,North,Home Office,Headphones,Furniture,1248.76,1101.07,8,0.23
38,2023-02-07,1088,John Smith,North,Corporate,Headphones,Technology,411.37,1191.28,12,0.43
39,2023-02-08,1013,Sara Ahmed,South,Corporate,Headphones,Office Supplies,3732.94,770.53,6,0.47
40,2023-02-09,1241,Sara Ahmed,East,Consumer,Laptop,Technology,3569.45,-416.88,8,0.17
41,2023-02-10,1264,Fatima Zahra,South,Consumer,Headphones,Technology,1210.77,-86.4,3,0.28
42,2023-02-11,1052,John Smith,East,Consumer,Laptop,Office Supplies,3759.43,1350.13,10,0.05
43,2023-02-12,1091,Michael Lee,South,Consumer,Headphones,Furniture,4593.31,232.23,10,0.1
44,2023-02-13,1263,Michael Lee,South,Home Office,Chair,Office Supplies,584.74,-292.73,14,0.21
45,2023-02-14,1034,Sara Ahmed,North,Home Office,Mobile,Technology,1201.55,904.81,1,0.1
46,2023-02-15,1205,John Smith,West,Corporate,Chair,Office Supplies,3763.79,98.92,6,0.44
47,2023-02-16,1080,John Smith,West,Consumer,Headphones,Technology,1408.81,37.71,1,0.08
48,2023-02-17,1049,Fatima Zahra,East,Consumer,Mobile,Office Supplies,3142.09,1495.95,9,0.23
49,2023-02-18,1001,Ayesha Noor,West,Corporate,Mobile,Office Supplies,451.76,1216.28,14,0.3
50,2023-02-19,1053,Michael Lee,South,Consumer,Tablet,Furniture,2288.4,315.88,2,0.35
51,2023-02-20,1105,Fatima Zahra,South,Consumer,Desk,Technology,3708.5,1460.52,11,0.19
52,2023-02-21,1259,Ali Khan,North,Consumer,Chair,Furniture,3448.24,800.23,2,0.43
53,2023-02-22,1190,Michael Lee,North,Consumer,Desk,Technology,4084.61,984.04,7,0.28
54,2023-02-23,1217,Fatima Zahra,West,Consumer,Mobile,Office Supplies,4393.39,-436.97,2,0.22
55,2023-02-24,1043,Michael Lee,East,Corporate,Laptop,Technology,3877.26,-256.79,10,0.03
56,2023-02-25,1161,Ayesha Noor,West,Consumer,Mobile,Furniture,3374.36,766.17,8,0.23
57,2023-02-26,1201,Ali Khan,West,Corporate,Desk,Furniture,207.03,1298.05,6,0.41
